ETL_YMD,O_CELL_ID,O_CELL_TP,D_CELL_ID,D_CELL_TP,ST_TIME_CD,FNS_TIME_CD,IN_FORN_DIV_NM,MOVE_PURPOSE,MOVE_DIST,MOVE_TIME,MALE_00_CNT,MALE_10_CNT,MALE_20_CNT,MALE_30_CNT,MALE_35_CNT,MALE_40_CNT,MALE_45_CNT,MALE_50_CNT,MALE_55_CNT,MALE_60_CNT,MALE_65_CNT,MALE_70_CNT,MALE_75_CNT,MALE_80_CNT,MALE_85_CNT,FEML_00_CNT,FEML_10_CNT,FEML_15_CNT,FEML_20_CNT,FEML_25_CNT,FEML_30_CNT,FEML_35_CNT,FEML_40_CNT,FEML_45_CNT,FEML_50_CNT,FEML_55_CNT,FEML_60_CNT,FEML_65_CNT,FEML_70_CNT,FEML_75_CNT,FEML_80_CNT,FEML_85_CNT,lon_o,lat_o,lon_d,lat_d
20240307,다사56001950,0,다사54502025,2,17,18,2,3,472,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,127.0051067,37.27450906,126.9881421,37.28119735
20240316,다사30755775,0,다사32005675,1,21,21,1,7,452,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.7167301,37.61771969,126.7309858,37.60880017
20240308,다사52253250,0,다사52003425,0,14,14,1,7,439,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,126.9619748,37.39150049,126.9590372,37.40726109
20240319,다사49505900,2,다사48755800,0,14,14,1,7,437,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,126.9290927,37.63020494,126.9206632,37.6211505
20240319,다사53002925,2,다사53502800,1,7,8,1,2,436,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.9706532,37.36224496,126.9763776,37.35100321
20240324,다사46753650,0,다사48253550,0,11,12,1,7,434,196,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.8995559,37.42725471,126.9165787,37.4183263
20240307,다사74255025,0,다사73754875,0,11,11,1,7,424,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,0,0,0,127.2098895,37.5523614,127.2042823,37.53882714
20240305,다사23756000,0,다사23506150,1,8,8,1,2,423,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.6371851,37.63744458,126.634195,37.65094244
20240306,다사68501975,2,다사70002025,0,8,9,1,7,419,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,127.1460885,37.27726798,127.1629882,37.28182428
20240320,다사60502100,1,다사61752025,0,12,12,1,7,417,231,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0557841,37.28823096,127.0699243,37.28152274
